SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
Shiva Texyarn Limited,ANAMALFIN,SHIVTEX,22-Jan-04
Shreyas Shipping & Logistics Limited,SHREYASHIP,SHREYAS,03-Apr-06
Simplex Infrastructures Limited,SIMPLEXCON,SIMPLEXINF,21-Dec-05
Siti Networks Limited,WWIL,SITICABLE,03-Oct-12
Siti Networks Limited,SITICABLE,SITINET,17-Aug-16
Siyaram Silk Mills Limited,SIYARSILK,SIYSIL,29-Jan-07
Smartlink Network Systems Limited,D-LINK,SMARTLINK,29-Jul-09
Solar Industries India Limited,SOLAREX,SOLARINDS,13-Apr-09
Somany Ceramics Limited,SPLLTD,SOMANYCERA,21-Mar-07
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,SBNOV23,SGBNOV23,15-Sep-16
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,GBNOV23,SBNOV23,15-Sep-16
Spentex Industries Limited,SPENTXIND,SPENTEX,20-Dec-06
Sphere Global Services Limited,ARHAMFISCL,COLORCHIPS,04-Apr-06
Sphere Global Services Limited,COLORCHIPS,SPHEREGSL,13-Oct-15
Spice Mobility Limited,SPICEMOBIL,SMOBILITY,26-Jul-11
Spice Mobility Limited,SMOBILITY,SPICEMOBI,19-Aug-14
Srikalahasthi Pipes Limited,LANCOIND,LANCOIN,28-Aug-07
Srikalahasthi Pipes Limited,LANCOIN,SRIPIPES,17-Dec-14
Stel Holdings Limited,SENTINEL,STEL,08-Nov-11
Sterling Biotech Limited,STERLINTEA,STERLINBIO,09-Jul-03
Sterlite Technologies Limited,STROPTICAL,STRTECH,17-Dec-07
Store One Retail India Limited,PIRAMYDRET,IBRETAILS,09-Jun-08
Store One Retail India Limited,IBRETAILS,STOREONE,26-Oct-09
Summit Securities Limited,KECINTL,KECINFRA,21-Feb-06
Summit Securities Limited,KECINFRA,SUMMIT,21-Apr-08
Sunflag Iron And Steel Company Limited,SUNFLAGIRN,SUNFLAG,29-Sep-05
Supreme Tex Mart Limited,SUPREMYARN,SUPREMETEX,15-Feb-08
Surana Telecom and Power Limited,SURANATELE,SURANAT&P,08-Feb-10
Swelect Energy Systems Limited,NUMERICPW,SWELECTES,09-Jul-12
TECHINDIA NIRMAN LIMITED,NATHSEED,TECHIN,31-Oct-14
TGB BANQUETS AND HOTELS LIMITED,BHAGWATIHO,TGBHOTELS,31-May-13
TV18 Broadcast Limited,GBN,IBN18,15-May-08
TV18 Broadcast Limited,IBN18,TV18BRDCST,19-Jul-11
TVS Motor Company Limited,TVS-SUZUKI,TVSMOTOR,03-Dec-01
TVS Srichakra Limited,SRICHAKTYR,TVSSRICHAK,13-Feb-07
Tarmat Limited,ROMAN,TARMAT,12-Sep-12
Tata Coffee Limited,CONSCOFFEE,TATACOFFEE,04-Apr-06
Tata Communications Limited,VSNL,TATACOMM,25-Feb-08
Tata Global Beverages Limited,TATATEA,TATAGLOBAL,21-Jul-10
Tata Investment Corporation Limited,INVESTCORP,TATAINVEST,07-Jul-05
Tata Motors Limited,TELCO,TATAMOTORS,26-Dec-03
Tata Sponge Iron Limited,IPITATASPO,TATASPONGE,11-Feb-04
Tata Steel Limited,TISCO,TATASTEEL,17-Oct-05
Tata Teleservices (Maharashtra) Limited,HUGHESTELE,TATATELSER,25-Jun-03
Tata Teleservices (Maharashtra) Limited,TATATELSER,TTML,14-Jan-05
Texmaco Infrastructure & Holdings Limited,TEXMACOLTD,TEXINFRA,20-Mar-12
The Madras Aluminium Company Limited,MADRASALMN,MALCO,12-Apr-07
The Ramco Cements Limited,MADRASCEM,RAMCOCEM,30-Sep-13
Timken India Limited,TATATIMKEN,TIMKEN,06-Feb-07
Torrent Power AEC Limited,AHMEDELEC,TORRENTAEC,17-Jun-05
Torrent Power SEC Limited,SURATELEC,TORRENTSEC,07-Jun-05
Trent Limited,LAKME,TRENT,07-Jun-04
Trident Limited,ABSHEKINDS,TRIDENT,03-May-11
Trigyn Technologies Limited,LEADEDSYS,TRIGYN,26-Jul-05
UFLEX Limited,FLEX,UFLEX,17-Apr-07
UPL Limited,UNIPHOS,UPL,23-Oct-13
Ujaas Energy Limited,MBSWITCH,UJAAS,23-Sep-13
Usha Martin Education & Solutions Limited,UMITL,UMESL,07-Jan-10
Usha Martin Limited,USHABEL,USHAMART,20-Oct-04
Uttam Value Steels Limited,LLOYDSTEEL,UTTAMVALUE,29-Apr-13
V2 Retail Limited,VISHALRET,V2RETAIL,24-Feb-12
VA Tech Wabag Limited,VATECH,WABAG,15-Dec-10
VAKRANGEE LIMITED,VAKRANSOFT,VAKRANGEE,27-Nov-13
VTX Industries Limited,VIJAYTEX,VTXIND,04-Apr-11
Vaibhav Global Limited,VAIBHAVGEM,VAIBHAVGBL,24-Dec-12
Value Industries Limited,VDOCONAPPL,VALUEIND,22-May-08
Vardhman Holdings Limited,VSGML,VHL,17-Apr-06
Vardhman Textiles Limited,MAHAVIRSPG,VTL,11-Oct-06
Vatsa Music Limited,BABABUSERV,VATSMUSC,20-Aug-01
Vedanta Limited,SESAGOA,SSLT,04-Oct-13
Vedanta Limited,SSLT,VEDL,07-May-15
Venky's (India) Limited,WESTHATCH,VENKEYS,17-Sep-03
Videocon Industries Limited,VDOLEASE,VIDEOIND,21-Sep-04
Vikas EcoTech Limited,VIKASGLOB,VIKASECO,21-Dec-15
W S Industries (I) Limited,WSIND,WSI,01-Aug-07
WABCO India Limited,WABCO-TVS,WABCOINDIA,06-Sep-11
Wartsila India Limited,WARTDEISEL,WARTSILA,20-Sep-00
Welspun Corp Limited,WELGUJ,WELCORP,17-May-10
Welspun Enterprises Limited,MSKPROJ,WELPROJ,04-Jan-11
Welspun Enterprises Limited,WELPROJ,WELENT,24-Jun-15
Wendt (India) Limited,WENDTINDIA,WENDT,07-Aug-06
Windsor Machines Limited,DGPWINDSOR,WINDSOR,05-Apr-05
Winsome Diamonds and Jewellery Limited,SURAJDIAMN,WINSOMEDJ,24-Jul-12
Wopolin Plastics Limited,BAJAJPLAST,WOPOLIN,23-Nov-05
Wyeth Limited,WYETHLEDE,WYETH,01-Sep-06
XL Energy Limited,XLTL,XLTELENE,22-Jul-09
XL Energy Limited,XLTELENE,XLENERGY,13-Dec-10
Xchanging Solutions Limited,SCANDENT,CAMBRIDGE,17-Jul-06
Xchanging Solutions Limited,CAMBRIDGE,XCHANGING,25-Jun-12
ZUARI GLOBAL LIMITED,ZUARIAGRO,ZUARIGLOB,25-Sep-12
Zandu Realty Limited,ZANDUPHARM,ZANDUREALT,10-Mar-10
Zee Entertainment Enterprises Limited,ZEETELE,ZEEL,28-Feb-07
Zee Media Corporation Limited,ZEENEWS,ZEEMEDIA,30-Jul-13
Zensar Technologies Limited,FUJITSICIM,ZENSARTECH,04-Mar-04
e-Serve International Limited,CITICORSEC,E-SERVEINT,09-Jul-03
iGate Global Solutions Limited,MASCOT,IGS,07-Aug-03
